title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,capacity,currency,seat_pricing,scrape_datetime
Deki Alem - Vilnius,https://www.bilietai.lt/eng/tickets/koncertai/deki-alem-vilnius-479160/,concert,Kablys,"Kauno g. 5, Vilnius",Vilnius,Lithuania,2026-03-14T00:00:00,2026-03-14T00:00:00,,2026-03-14T00:00:00,,,EUR,,2026-02-21T11:00:07.214298
LIETUVOS DŽIAZO GRANDŲ VAKARAS,https://www.bilietai.lt/eng/tickets/koncertai/lietuvos-dziazo-grandu-vakaras-488149/,concert,Nacionalinis Kauno dramos teatras,"Laisvės al. 71, Kaunas",Kaunas,Lithuania,2026-04-25T00:00:00,2026-04-25T00:00:00,,2026-04-25T00:00:00,,,EUR,,2026-02-21T11:00:14.236631
Jean-Yves Thibaudet (fortepijonas),https://www.bilietai.lt/eng/tickets/koncertai/jean-yves-thibaudet-fortepijonas-487398/,concert,Lietuvos nacionalinė filharmonija,"Aušros Vartų g. 5, Vilnius",Vilnius,Lithuania,2026-05-21T00:00:00,2026-05-21T00:00:00,,2026-05-21T00:00:00,,,EUR,,2026-02-21T11:00:21.562836
THOMAS ANDERS from Modern Talking,https://www.bilietai.lt/eng/tickets/koncertai/thomas-anders-from-modern-talking-488787/,concert,Palangos koncertų salė,"Vytauto g. 43, Palanga",Palanga,Lithuania,2026-06-26T00:00:00,2026-06-26T00:00:00,,2026-06-26T00:00:00,,,EUR,,2026-02-21T11:00:28.556708
"Šokio spektaklis DU Į PRIEKĮ, VIENS ATGAL",https://www.bilietai.lt/eng/tickets/teatras/sokio-spektaklis-du-i-prieki-viens-atgal-490773/,theatre,MENŲ SPAUSTUVĖ,"Šiltadaržio g. 6, Vilnius",Vilnius,Lithuania,2026-02-28T00:00:00,2026-02-28T00:00:00,,2026-02-28T00:00:00,,,EUR,,2026-02-21T11:00:35.630634
Justinas Jarutis ''TIK AŠ IR TU'',https://www.bilietai.lt/eng/tickets/koncertai/justinas-jarutis-tik-as-ir-tu-101935/,concert,Unknown,,,Lithuania,2026-02-27T00:00:00,2026-03-20T00:00:00,,2026-03-20T00:00:00,,,EUR,,2026-02-21T11:00:43.368313
OKT / Vilniaus miesto teatras: VAPSVOS (rež. Artiom Rybakov),https://www.bilietai.lt/eng/tickets/teatras/okt-vilniaus-miesto-teatras-vapsvos-rez-artiom-rybakov-100158/,theatre,Unknown,,,Lithuania,2026-03-29T00:00:00,2026-05-17T00:00:00,,2026-05-17T00:00:00,,,EUR,,2026-02-21T11:00:51.398660
Acoustic: Mėlyna - Lukiškių kalėjimas 2.0,https://www.bilietai.lt/eng/tickets/koncertai/acoustic-melyna-lukiskiu-kalejimas-20-487327/,concert,Lukiškių kalėjimas 2.0,"Lukiškių skg. 6, Vilnius",Vilnius,Lithuania,2026-03-06T00:00:00,2026-03-06T00:00:00,,2026-03-06T00:00:00,,,EUR,,2026-02-21T11:00:58.394868
JUODAS VILNIUS 2026,https://www.bilietai.lt/eng/tickets/koncertai/juodas-vilnius-2026-488567/,concert,Kalnų parkas,"Kalnų parkas, T. Kosciuškos g., Vilnius, Vilnius",Vilnius,Lithuania,2026-06-13T00:00:00,2026-06-13T00:00:00,,2026-06-13T00:00:00,,,EUR,,2026-02-21T11:01:05.333298
Klangkarussell - Kaleidoscope Live Tour 2026 - Vilnius,https://www.bilietai.lt/eng/tickets/koncertai/klangkarussell-kaleidoscope-live-tour-2026-vilnius-493410/,concert,Kablys,"Kauno g. 5, Vilnius",Vilnius,Lithuania,2026-04-16T00:00:00,2026-04-16T00:00:00,,2026-04-16T00:00:00,,,EUR,,2026-02-21T11:01:12.586915
