title,venue_url,category,venue,address,city,country,open_date,close_date,booking_start_date,booking_end_date,upcoming_performances,capacity,currency,seat_pricing,scrape_datetime
The Phantom of the Opera,https://www.bilietai.lt/eng/tickets/koncertai/the-phantom-of-the-opera-101987/,concert,Twinsbet Arena,"Ozo g. 14, Vilnius",Vilnius,Lithuania,2026-05-19T00:00:00,2026-05-24T00:00:00,,2026-05-24T00:00:00,,,EUR,"{""2026-05-19 00:00"": [{""seat"": ""The Phantom of the Opera   Tu 19/05/2026 19:00     Twinsbet Arena, Vilnius"", ""ticket_price"": ""86.00""}, {""seat"": ""Price"", ""ticket_price"": ""86.00""}, {""seat"": ""Price"", ""ticket_price"": ""86.00""}]}",2026-02-21T16:59:50.457024
Ledo šou ''STICHIJOS 2: Pasadoblis'',https://www.bilietai.lt/eng/tickets/koncertai/ledo-sou-stichijos-2-pasadoblis-484896/,concert,Kauno Žalgirio arena,"Nemuno sala, Karaliaus Mindaugo pr. 50, Kaunas",Kaunas,Lithuania,2026-03-13T00:00:00,2026-03-13T00:00:00,,2026-03-13T00:00:00,,,EUR,"{""2026-03-13 00:00"": [{""seat"": ""Natalija Bunkė 360° Arena Show   Sa 28/02/2026 20:00     Kauno Žalgirio arena, Kaunas"", ""ticket_price"": ""51.60""}, {""seat"": ""Price"", ""ticket_price"": ""51.60""}, {""seat"": ""Price"", ""ticket_price"": ""51.60""}]}",2026-02-21T17:00:14.105451
Ingmar Bergman ''Rudens sonata'',https://www.bilietai.lt/eng/tickets/teatras/ingmar-bergman-rudens-sonata-492033/,theatre,Teatras Meno fortas,"Bernardinų g. 8, Vilnius",Vilnius,Lithuania,2026-02-26T00:00:00,2026-02-26T00:00:00,,2026-02-26T00:00:00,,,EUR,"{""2026-02-26 00:00"": [{""seat"": ""Lietuvos teatro, muzikos ir kino muziejus   Th 01/01/2026 00:00     Lietuvos teatro, muzikos ir kino muziejus, Vilnius"", ""ticket_price"": ""3.20""}, {""seat"": ""Price"", ""ticket_price"": ""3.20""}, {""seat"": ""Price"", ""ticket_price"": ""3.20""}]}",2026-02-21T17:00:37.675702
"Šokio spektaklis DU Į PRIEKĮ, VIENS ATGAL",https://www.bilietai.lt/eng/tickets/teatras/sokio-spektaklis-du-i-prieki-viens-atgal-490773/,theatre,MENŲ SPAUSTUVĖ,"Šiltadaržio g. 6, Vilnius",Vilnius,Lithuania,2026-02-28T00:00:00,2026-02-28T00:00:00,,2026-02-28T00:00:00,,,EUR,"{""2026-02-28 00:00"": [{""seat"": ""Šokio spektaklis TIESA-DRĄSA   Su 08/03/2026 18:00     MENŲ SPAUSTUVĖ, Vilnius"", ""ticket_price"": ""16.00""}, {""seat"": ""Price"", ""ticket_price"": ""16.00""}, {""seat"": ""Price"", ""ticket_price"": ""16.00""}]}",2026-02-21T17:01:03.778087
